code,lat,lng,population,x,y
02025,42.2395,-70.8128,8381,2334077.7858304437,4921556.682529973
02026,42.2437,-71.1637,25364,2304868.216801841,4914118.990816527
02030,42.2362,-71.2854,5923,2295006.626467699,4910573.069796695
02032,42.1532,-71.2179,4853,2303086.9752504164,4902815.322152971
02035,42.0649,-71.2441,18618,2303549.1968329847,4892380.64851661
02038,42.0935,-71.4058,33261,2289258.274085246,4891990.70262542
02043,42.2245,-70.8911,24272,2328044.970042186,4918107.230536171
02045,42.2853,-70.8754,10072,2327492.099883939,4925244.276417123
02047,42.1428,-70.6935,371,2346939.287631466,4913488.891457598
02048,42.0212,-71.2178,23860,2307041.3017994016,4888089.473181589
02050,42.1062,-70.6993,25956,2347581.484068702,4909272.5877049845
02052,42.1845,-71.3048,12799,2294940.5826418246,4904376.027199222
02053,42.1514,-71.4217,13115,2286223.05301723,4898099.631964317
02054,42.1669,-71.3607,8460,2290826.147135183,4901175.15633249
02056,42.1177,-71.3269,11662,2295095.130280587,4896434.327395282
02061,42.1596,-70.8217,11351,2335781.514087923,4912441.321190245
02062,42.1868,-71.2033,31611,2303292.3434852306,4906888.791244462
02066,42.2032,-70.7525,18561,2340189.1567863757,4918880.1979864845
02067,42.1094,-71.1759,18553,2307886.564172025,4898865.053092344
02071,42.0992,-71.2752,968,2299941.1257066038,4895516.688950287
02072,42.1253,-71.1074,29281,2313099.2066270113,4902170.298191102
02081,42.1444,-71.2544,20584,2300319.9512307746,4901021.544659511
02090,42.2148,-71.2104,16266,2301864.375658167,4909853.870864607
02093,42.0617,-71.3396,12178,2295704.0099276295,4889905.0976462215
02108,42.3576,-71.0684,4228,2309322.9608014077,4928954.63055028
02109,42.36,-71.0545,3921,2310399.828597598,4929534.294620594
02110,42.3576,-71.0514,2921,2310728.8737842254,4929336.3058080105
02111,42.3503,-71.0629,9716,2309998.7488445966,4928264.079916007
02113,42.3657,-71.056,7126,2310103.186907582,4930136.183502687
02114,42.3611,-71.0682,14469,2309233.592424201,4929349.386480931
02115,42.3427,-71.0922,31604,2307804.939664175,4926759.3786978
02116,42.3492,-71.0768,23408,2308882.320295939,4927829.50429555
02118,42.3362,-71.0729,29073,2309598.074656258,4926467.374922213
02119,42.3251,-71.0953,29175,2308080.111488917,4924727.29490651
02120,42.3307,-71.0912,17578,2308250.218851473,4925443.663376747
02121,42.2973,-71.0745,28766,2310641.588285076,4922093.482688112
02122,42.2973,-71.0745,24385,2310641.588285076,4922093.482688112
02124,42.2918,-71.0717,50972,2311039.626493528,4921542.9274412645
02125,42.2973,-71.0745,34926,2310641.588285076,4922093.482688112
